"Year","Month","Date","MEI","Phase"
2005,"AS",2005-09-01,-0.08,"Neutral Phase"
2006,"AS",2006-09-01,0.63,"Warm Phase/El Nino"
2007,"AS",2007-09-01,-1.15,"Cool Phase/La Nina"
2008,"AS",2008-09-01,-1.01,"Cool Phase/La Nina"
2009,"AS",2009-09-01,0.41,"Neutral Phase"
2010,"AS",2010-09-01,-2.41,"Cool Phase/La Nina"
2011,"AS",2011-09-01,-1.18,"Cool Phase/La Nina"
2012,"AS",2012-09-01,-0.27,"Neutral Phase"
2013,"AS",2013-09-01,-0.37,"Neutral Phase"
2014,"AS",2014-09-01,-0.09,"Neutral Phase"
2015,"AS",2015-09-01,2.14,"Warm Phase/El Nino"
2016,"AS",2016-09-01,-0.28,"Neutral Phase"
2017,"AS",2017-09-01,-0.84,"Cool Phase/La Nina"
2018,"AS",2018-09-01,0.49,"Neutral Phase"
2019,"AS",2019-09-01,0.13,"Neutral Phase"
2020,"AS",2020-09-01,-1.21,"Cool Phase/La Nina"
2021,"AS",2021-09-01,-1.45,"Cool Phase/La Nina"
2022,"AS",2022-09-01,-1.76,"Cool Phase/La Nina"
2023,"AS",2023-09-01,NA,NA
1979,"SO",1979-10-01,0.28,"Neutral Phase"
1980,"SO",1980-10-01,0.06,"Neutral Phase"
1981,"SO",1981-10-01,-0.05,"Neutral Phase"
1982,"SO",1982-10-01,1.87,"Warm Phase/El Nino"
1983,"SO",1983-10-01,-0.44,"Neutral Phase"
1984,"SO",1984-10-01,-0.01,"Neutral Phase"
1985,"SO",1985-10-01,0.05,"Neutral Phase"
1986,"SO",1986-10-01,0.57,"Warm Phase/El Nino"
1987,"SO",1987-10-01,1.05,"Warm Phase/El Nino"
1988,"SO",1988-10-01,-1.53,"Cool Phase/La Nina"
1989,"SO",1989-10-01,-0.59,"Cool Phase/La Nina"
1990,"SO",1990-10-01,-0.06,"Neutral Phase"
1991,"SO",1991-10-01,1.17,"Warm Phase/El Nino"
1992,"SO",1992-10-01,0.95,"Warm Phase/El Nino"
1993,"SO",1993-10-01,0.93,"Warm Phase/El Nino"
1994,"SO",1994-10-01,1.52,"Warm Phase/El Nino"
1995,"SO",1995-10-01,-0.57,"Cool Phase/La Nina"
1996,"SO",1996-10-01,-0.29,"Neutral Phase"
1997,"SO",1997-10-01,1.93,"Warm Phase/El Nino"
1998,"SO",1998-10-01,-1.19,"Cool Phase/La Nina"
1999,"SO",1999-10-01,-1.33,"Cool Phase/La Nina"
2000,"SO",2000-10-01,-0.5,"Cool Phase/La Nina"
2001,"SO",2001-10-01,-0.28,"Neutral Phase"
2002,"SO",2002-10-01,0.72,"Warm Phase/El Nino"
2003,"SO",2003-10-01,0.3,"Neutral Phase"
2004,"SO",2004-10-01,0.3,"Neutral Phase"
2005,"SO",2005-10-01,-0.8,"Cool Phase/La Nina"
2006,"SO",2006-10-01,0.62,"Warm Phase/El Nino"
2007,"SO",2007-10-01,-1.19,"Cool Phase/La Nina"
2008,"SO",2008-10-01,-1.15,"Cool Phase/La Nina"
2009,"SO",2009-10-01,0.61,"Warm Phase/El Nino"
2010,"SO",2010-10-01,-2.21,"Cool Phase/La Nina"
2011,"SO",2011-10-01,-1.43,"Cool Phase/La Nina"
2012,"SO",2012-10-01,-0.25,"Neutral Phase"
2013,"SO",2013-10-01,-0.2,"Neutral Phase"
2014,"SO",2014-10-01,0.04,"Neutral Phase"
2015,"SO",2015-10-01,2.12,"Warm Phase/El Nino"
2016,"SO",2016-10-01,-0.47,"Neutral Phase"
2017,"SO",2017-10-01,-0.62,"Cool Phase/La Nina"
2018,"SO",2018-10-01,0.38,"Neutral Phase"
2019,"SO",2019-10-01,0.22,"Neutral Phase"
2020,"SO",2020-10-01,-1.19,"Cool Phase/La Nina"
